coco_file_name,img_core,wall,drift,drift_num,sign,cycle,view,load_step_id,state
IMG_4112_JPG_JPG.rf.577686c60199a75c78e56236ecbf6099.jpg,IMG_4112,RW20,0.125,0.125,+,2,Side,RW20|0.125|+|2,peak
IMG_3327_JPG_JPG.rf.f32a18bbfaf9e8b3f8ed515e5f48dfbb.jpg,IMG_3327,N40,0.125,0.125,-,2,close-up,N40|0.125|-|2,peak
IMG_2060_JPG_JPG.rf.e48ebc8072d7be2db9cd36ededbc5153.jpg,IMG_2060,RW40,0.50,0.5,-,2,Bottom,RW40|0.50|-|2,peak
IMG_1926_JPG_JPG.rf.0db8a50dac53ff881f98e8f7ccc37e78.jpg,IMG_1926,RW40,0.25,0.25,-,1,close-up,RW40|0.25|-|1,peak
IMG_2136_JPG_JPG.rf.568667164f162be77f3e6f600a0c8a23.jpg,IMG_2136,RW40,0.75,0.75,+,2,overview,RW40|0.75|+|2,peak
IMG_4233_JPG_JPG.rf.51486da3dba7f9386ec06688eb1ea4be.jpg,IMG_4233,RW20,1.00,1.0,-,2,Bottom,RW20|1.00|-|2,peak
IMG_4100_JPG_JPG.rf.dadc3afacbaac24cafbceb75c1b783c6.jpg,IMG_4100,RW20,Initial,,,,overview,RW20|Initial|None|None,initial
IMG_4225_JPG_JPG.rf.d9f695a423fba5da3df0023713bce097.jpg,IMG_4225,RW20,1.00,1.0,+,2,Side,RW20|1.00|+|2,peak
IMG_3947_JPG_JPG.rf.dff8c29e4fb26bb05b675542811893f1.jpg,IMG_3947,RW20T,0.75,0.75,-,2,close-up,RW20T|0.75|-|2,peak
IMG_4128_JPG_JPG.rf.8c96681d6dd448e729db49770ecbea6f.jpg,IMG_4128,RW20,0.25,0.25,+,2,overview,RW20|0.25|+|2,peak
IMG_4126_JPG_JPG.rf.9e3494daff08127b99e0e4306382cf07.jpg,IMG_4126,RW20,0.125,0.125,-,2,Side,RW20|0.125|-|2,peak
IMG_1924_JPG_JPG.rf.af97bc7b50d9aa8cd95e79baeacb2407.jpg,IMG_1924,RW40,0.25,0.25,-,1,overview,RW40|0.25|-|1,peak
IMG_4111_JPG_JPG.rf.32292ef86c325c76d3b4fb0aa1fee9e1.jpg,IMG_4111,RW20,0.125,0.125,+,2,close-up,RW20|0.125|+|2,peak
IMG_3872_JPG_JPG.rf.1f7ddc1bba41ba494247948e2ac374bf.jpg,IMG_3872,RW20T,0.25,0.25,+,2,overview,RW20T|0.25|+|2,peak
IMG_3445_JPG_JPG.rf.ab1acccc78f7e93bfb15e45b5647a5a5.jpg,IMG_3445,N40,1.00,1.0,-,2,overview,N40|1.00|-|2,peak
IMG_4315_JPG_JPG.rf.0fbf41e8e7e1cd3e13190eca234ed352.jpg,IMG_4315,RW20,2.00,2.0,-,2,close-up,RW20|2.00|-|2,peak
IMG_4142_JPG_JPG.rf.fa05a6df0c7194331e0af84a3d6bd9eb.jpg,IMG_4142,RW20,0.25,0.25,-,2,close-up,RW20|0.25|-|2,peak
IMG_4240_JPG_JPG.rf.a0dd7ce661eb6b4b510354cc548e66aa.jpg,IMG_4240,RW20,1.00,1.0,-,2,Side,RW20|1.00|-|2,peak
IMG_2006_JPG_JPG.rf.1a58150e80fe3fd2251c9356f0fdbd9f.jpg,IMG_2006,RW40,0.50,0.5,-,1,Bottom,RW40|0.50|-|1,peak
IMG_3895_JPG_JPG.rf.780cc9f48e54358b13b5f5e92b2de5e7.jpg,IMG_3895,RW20T,0.50,0.5,+,2,overview,RW20T|0.50|+|2,peak
IMG_2121_JPG_JPG.rf.95024880457c438d9f771177d5647f9d.jpg,IMG_2121,RW40,0.75,0.75,-,1,close-up,RW40|0.75|-|1,peak
IMG_2139_JPG_JPG.rf.76317a0ab008236c1714cd3a097a30ea.jpg,IMG_2139,RW40,0.75,0.75,+,2,close-up,RW40|0.75|+|2,peak
IMG_4122_JPG_JPG.rf.c193784bc9513ec3ba47b6f9d9efb989.jpg,IMG_4122,RW20,0.125,0.125,-,2,close-up,RW20|0.125|-|2,peak
IMG_3959_JPG_JPG.rf.1ceac4655088a87263513af821ac7525.jpg,IMG_3959,RW20T,1.00,1.0,+,2,overview,RW20T|1.00|+|2,peak
IMG_3944_JPG_JPG.rf.1492d99b0cd6a9acfa02a22a5c9969e5.jpg,IMG_3944,RW20T,0.75,0.75,-,2,overview,RW20T|0.75|-|2,peak
IMG_4302_JPG_JPG.rf.de0a123cdd7c5a9e77def9cc5d261fba.jpg,IMG_4302,RW20,2.00,2.0,+,2,Side,RW20|2.00|+|2,peak
IMG_3873_JPG_JPG.rf.917ea8b205401d72c664baf53061c292.jpg,IMG_3873,RW20T,0.25,0.25,+,2,Bottom,RW20T|0.25|+|2,peak
IMG_4299_JPG_JPG.rf.c2a6367c95780e1caee9b687c29fcc9a.jpg,IMG_4299,RW20,2.00,2.0,+,2,close-up,RW20|2.00|+|2,peak
IMG_4292_JPG_JPG.rf.716bb9aa4f340520d7ddc2ded3c72f95.jpg,IMG_4292,RW20,2.00,2.0,+,2,close-up,RW20|2.00|+|2,peak
IMG_4115_JPG_JPG.rf.3883a15644fcd0e1f323624489affc4c.jpg,IMG_4115,RW20,0.125,0.125,+,2,close-up,RW20|0.125|+|2,peak
IMG_3854_JPG_JPG.rf.f2719660ccf3f9651d0ab19883aa1176.jpg,IMG_3854,RW20T,Initial,,,,overview,RW20T|Initial|None|None,initial
IMG_4210_JPG_JPG.rf.a7d5e2d98fe9a2d7d17296dd532375f6.jpg,IMG_4210,RW20,0.75,0.75,-,2,Side,RW20|0.75|-|2,peak
